日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2024-10-07,"43,850,831","43,905,376,215",993.0,1010.0,989.0,1005.0,+28.00,"79,851",982.2,956.35,957.75,944.42,,987.2108047433753,967.9973295933279,60.15612647699107,13.90198253326264,10.680368482489401,3.2216140507732387,944.42,956.35
2024-10-08,"35,344,059","35,503,172,585",1000.0,1010.0,997.0,1010.0,+5.00,"42,227",984.2,961.75,957.25,945.04,,994.8072031622503,971.9975839177728,61.09632107294102,15.47550586306545,11.639395958604611,3.836109904460839,945.04,961.75
2024-10-09,"53,208,610","54,663,169,800",1030.0,1035.0,1020.0,1020.0,+10.00,"80,835",996.8,966.85,956.8333333333334,946.96,,1003.204802108167,976.5692425922706,62.97793911018072,17.3296850432464,12.77745377553297,4.552231267713429,946.96,966.85
2024-10-11,"47,776,351","49,706,577,415",1025.0,1050.0,1020.0,1045.0,+25.00,"89,915",1011.4,974.15,956.25,948.98,,1017.136534738778,983.0864575834829,67.24338557886975,20.579202235203184,14.337803467467015,6.241398767736168,948.98,974.15
2024-10-14,"39,906,157","41,745,442,865",1045.0,1055.0,1035.0,1045.0, 0.00,"49,228",1025.0,981.2,956.3333333333334,951.08,,1026.4243564925187,988.982985432675,67.24338557886975,22.890599439896164,16.048362661952847,6.842236777943317,951.08,981.2
2024-10-15,"52,066,470","55,504,081,569",1050.0,1075.0,1050.0,1070.0,+25.00,"88,895",1038.0,989.65,956.8333333333334,953.8,,1040.9495709950124,996.698891581944,71.10442795781563,26.434963637990222,18.125682857160324,8.309280780829898,953.8,989.65
2024-10-16,"60,312,846","63,228,552,464",1040.0,1070.0,1035.0,1045.0,-25.00,"69,585",1045.0,994.9,956.6666666666666,955.5,,1042.299713996675,1001.2989971455685,63.095266933619264,26.916332013841725,19.883812688496604,7.03251932534512,955.5,994.9
2024-10-17,"56,618,332","58,862,054,838",1050.0,1055.0,1030.0,1035.0,-10.00,"58,589",1048.0,999.3,956.75,958.14,,1039.8664759977835,1004.5086164650381,60.17545784295917,26.189012855163128,21.14485272182991,5.044160133333218,958.14,999.3
2024-10-18,"91,036,335","99,230,303,460",1095.0,1100.0,1075.0,1085.0,+50.00,"132,797",1056.0,1006.2,958.0833333333334,963.54,,1054.9109839985224,1012.1744625159869,68.1194406362778,29.30932960713676,22.77774809889128,6.5315815082454804,963.54,1006.2
2024-10-21,"42,094,031","45,813,114,865",1090.0,1095.0,1080.0,1085.0, 0.00,"43,553",1064.0,1013.4,960.0,967.64,,1064.940655999015,1019.1102279906548,68.1194406362778,31.42001276486951,24.506201032086928,6.913811732782584,967.64,1013.4
2024-10-22,"43,740,591","46,707,090,730",1065.0,1075.0,1060.0,1075.0,-10.00,"56,089",1065.0,1019.15,962.2666666666667,970.74,,1068.29377066601,1024.4330634201162,65.1070261698569,31.91789828429114,25.98854048252777,5.92935780176337,970.74,1019.15
2024-10-23,"32,895,421","34,912,308,143",1060.0,1070.0,1055.0,1060.0,-15.00,"40,549",1068.0,1023.5,963.6166666666667,974.02,,1065.5291804440067,1027.8203907134384,60.7661134484551,30.747661602535572,26.94036470652933,3.8072968960062425,974.02,1023.5
2024-10-24,"40,791,484","43,477,824,029",1070.0,1075.0,1055.0,1060.0, 0.00,"42,113",1073.0,1027.65,965.8833333333333,976.54,,1063.6861202960044,1030.8851154073966,60.7661134484551,29.48040879942198,27.44837352510786,2.0320352743141186,976.54,1027.65
2024-10-25,"23,347,890","24,867,260,319",1065.0,1070.0,1060.0,1065.0,+5.00,"25,884",1069.0,1031.55,967.9,979.04,,1064.1240801973363,1034.1341520352635,61.751962589812265,28.550448240863716,27.668788468259034,0.8816597726046815,979.04,1031.55
2024-10-28,"41,665,065","44,216,316,045",1075.0,1080.0,1050.0,1050.0,-15.00,"55,098",1062.0,1033.8,969.7333333333333,981.22,,1059.4160534648909,1035.6451851747622,57.11527987996494,26.29990423355048,27.395011621317327,-1.0951073877668485,981.22,1033.8
2024-10-29,"48,097,705","49,680,152,085",1035.0,1040.0,1020.0,1040.0,-10.00,"93,617",1055.0,1035.05,971.5,983.06,,1052.9440356432606,1036.0599294438325,54.193820795265445,23.439222698093545,26.60385383667257,-3.1646311385790256,983.06,1035.05
2024-10-30,"40,765,247","42,368,799,669",1040.0,1055.0,1030.0,1030.0,-10.00,"46,750",1049.0,1036.55,972.6666666666666,984.8,,1045.2960237621737,1035.4827933063248,51.36441938464806,20.133113544124853,25.30970577816303,-5.176592234038175,984.8,1036.55
2024-11-01,"61,545,741","62,269,386,415",996.0,1030.0,996.0,1025.0,-5.00,"77,404",1042.0,1039.95,974.7,985.92,,1038.530682508116,1034.4844320390557,49.95992105837294,16.91455949421629,23.630676521373683,-6.716117027157392,985.92,1039.95
2024-11-04,"28,225,506","29,263,376,605",1030.0,1045.0,1025.0,1040.0,+15.00,"33,492",1037.0,1043.35,978.45,987.26,,1039.0204550054107,1035.0097242258123,54.021712089168844,15.39672302213171,21.98388582152529,-6.587162799393582,987.26,1043.35
2024-11-05,"33,407,780","34,851,674,542",1030.0,1055.0,1030.0,1050.0,+10.00,"28,872",1037.0,1047.0,981.2833333333333,988.8,,1042.6803033369406,1036.4373695376398,56.55361286659235,14.829794469676244,20.553067551155483,-5.723273081479238,988.8,1047.0
2024-11-06,"59,404,980","63,110,184,620",1050.0,1080.0,1040.0,1060.0,+10.00,"58,611",1041.0,1049.75,983.6166666666667,990.84,,1048.4535355579605,1038.6814295816741,58.98588368217267,15.014339968810646,19.445322034686516,-4.43098206587587,990.84,1049.75
2024-11-07,"46,030,563","48,979,606,039",1050.0,1075.0,1050.0,1065.0,+5.00,"41,583",1048.0,1052.5,986.4333333333333,993.12,,1053.969023705307,1041.1879600977052,60.186068191552316,15.386683707803968,18.633594369310007,-3.246910661506039,993.12,1052.5
2024-11-08,"38,840,413","42,224,017,162",1085.0,1090.0,1080.0,1090.0,+25.00,"58,203",1061.0,1056.0,989.0333333333333,995.94,,1065.9793491368714,1045.8367258026856,65.60554948532103,17.497361181855013,18.406347731819007,-0.9089865499639949,995.94,1056.0
2024-11-11,"36,630,666","39,467,913,757",1080.0,1090.0,1070.0,1085.0,-5.00,"48,859",1070.0,1058.0,991.45,998.64,,1072.3195660912477,1049.566561440525,63.7368982299731,18.552765343212968,18.4356312540978,0.11713408911516865,998.64,1058.0
2024-11-12,"54,098,799","57,135,037,210",1060.0,1065.0,1050.0,1050.0,-35.00,"92,756",1070.0,1058.25,993.2666666666667,1000.8,,1064.8797107274986,1049.6078413033322,52.4704891580942,16.376198628114707,18.023744728901182,-1.6475461007864745,1000.8,1058.25
2024-11-13,"46,420,969","48,395,649,023",1045.0,1050.0,1035.0,1035.0,-15.00,"75,428",1065.0,1056.5,994.7166666666667,1002.22,,1054.9198071516657,1048.2166183220625,48.512655502059474,13.287706772945285,17.076537137710005,-3.7888303647647206,1002.22,1056.5
2024-11-14,"49,328,914","50,864,201,443",1030.0,1040.0,1025.0,1035.0, 0.00,"62,545",1059.0,1056.0,996.25,1004.06,,1048.279871434444,1046.9578927675805,48.512655502059474,10.716521339146539,15.804533977997313,-5.088012638850774,1004.06,1056.0
2024-11-15,"37,405,855","38,824,519,360",1040.0,1045.0,1030.0,1035.0, 0.00,"38,669",1048.0,1056.0,997.35,1005.88,,1043.8532476229627,1045.8190458373347,48.51265550205947,8.579934217633081,14.359614025924467,-5.779679808291386,1005.88,1056.0
2024-11-18,"33,583,180","34,422,999,050",1030.0,1035.0,1020.0,1025.0,-10.00,"56,311",1036.0,1053.0,998.2166666666667,1007.42,,1037.568831748642,1043.8362795671123,45.64579854260878,6.010472122799229,12.68978564529942,-6.679313522500191,1007.42,1053.0
2024-11-19,"25,497,606","26,433,399,155",1030.0,1045.0,1025.0,1040.0,+15.00,"26,315",1034.0,1050.75,999.3333333333334,1009.42,,1038.3792211657615,1043.4709196083397,50.382358468953406,5.125446582712357,11.176917832782008,-6.0514712500696515,1009.42,1050.75
2024-11-20,"40,203,197","41,541,948,790",1045.0,1050.0,1020.0,1025.0,-15.00,"53,280",1032.0,1048.25,1000.45,1012.14,,1033.9194807771744,1041.7117844075456,46.059838476720756,3.1770596600490535,9.576946198235419,-6.399886538186365,1012.14,1048.25
2024-11-21,"44,679,981","45,374,625,920",1020.0,1025.0,1010.0,1010.0,-15.00,"67,481",1027.0,1045.75,1001.4333333333333,1014.3,,1025.9463205181164,1038.69161446397,42.16413087244142,0.41775868462855215,7.745108695514046,-7.327350010885493,1014.3,1045.75
