日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代碼
113/10/30,"68,400,059","14,511,199,772",209.5,215.5,209.0,211.5,+2.00,"46,335",2317
113/11/01,"89,610,123","18,433,074,201",202.0,208.5,201.5,208.0,-3.50,"80,888",2317
113/11/04,"58,094,813","12,294,890,607",209.0,214.0,208.0,214.0,+6.00,"39,861",2317
113/11/05,"43,852,449","9,367,062,523",212.0,215.5,211.0,214.0, 0.00,"38,403",2317
113/11/06,"67,838,254","14,573,660,427",215.0,217.0,212.5,213.5,-0.50,"45,706",2317
113/11/07,"77,417,403","16,779,105,487",212.0,219.0,212.0,217.0,+3.50,"53,480",2317
113/11/08,"54,800,994","11,986,609,909",219.5,220.0,217.5,218.0,+1.00,"51,977",2317
113/11/11,"42,180,625","9,234,072,034",219.5,220.0,217.5,220.0,+2.00,"31,177",2317
113/11/12,"69,315,077","14,949,730,622",217.5,218.5,214.0,214.0,-6.00,"57,578",2317
113/11/13,"55,926,693","11,973,365,753",212.5,216.5,212.5,214.5,+0.50,"36,731",2317
113/11/14,"72,322,171","15,335,395,727",215.0,215.5,209.0,211.5,-3.00,"55,336",2317
113/11/15,"102,463,857","21,409,852,373",212.0,214.5,206.0,207.0,-4.50,"90,848",2317
113/11/18,"61,852,042","12,613,633,700",205.0,208.0,202.0,202.5,-4.50,"63,316",2317
113/11/19,"60,416,837","12,275,277,231",203.5,205.0,201.0,203.5,+1.00,"45,425",2317
113/11/20,"44,351,353","9,149,397,305",206.5,208.5,205.0,206.0,+2.50,"30,182",2317
113/11/21,"50,295,948","10,213,455,556",205.0,205.0,202.0,202.5,-3.50,"40,002",2317
113/11/22,"37,504,512","7,668,676,032",205.5,207.0,203.0,203.0,+0.50,"27,903",2317
113/11/25,"80,800,240","16,909,706,981",206.0,210.5,205.5,210.5,+7.50,"32,913",2317
113/11/26,"95,313,693","19,363,557,785",207.0,207.0,202.0,202.5,-8.00,"99,867",2317
113/11/27,"96,019,881","19,063,838,432",200.5,201.0,196.5,196.5,-6.00,"110,119",2317
113/11/28,"58,511,555","11,432,751,066",196.0,199.0,193.0,195.5,-1.00,"58,622",2317
113/11/29,"50,800,936","9,954,052,225",193.5,199.0,192.5,195.5, 0.00,"37,878",2317
113/12/02,"47,905,269","9,428,699,635",198.5,199.5,195.5,196.0,+0.50,"41,679",2317
113/12/03,"52,170,125","10,312,565,933",198.5,200.0,196.5,196.5,+0.50,"47,992",2317
113/12/04,"50,379,504","10,055,268,944",197.5,201.5,197.0,201.0,+4.50,"32,459",2317
113/12/05,"46,475,440","9,319,676,695",203.0,203.5,199.0,199.0,-2.00,"47,064",2317
113/12/06,"47,526,532","9,465,077,239",199.5,201.5,197.5,198.0,-1.00,"36,972",2317
113/12/09,"41,114,306","8,084,426,101",198.5,199.0,195.0,195.0,-3.00,"55,012",2317
113/12/10,"58,994,150","11,375,383,210",193.0,195.0,192.0,192.0,-3.00,"73,633",2317
113/12/11,"66,246,732","12,596,425,979",190.0,194.0,189.0,189.0,-3.00,"86,964",2317
113/12/12,"50,634,757","9,624,979,364",190.5,193.0,188.5,188.5,-0.50,"51,432",2317
113/12/13,"55,417,050","10,371,852,143",188.5,189.5,185.5,186.5,-2.00,"78,777",2317
113/12/16,"75,228,642","13,834,643,194",188.0,189.5,181.5,182.0,-4.50,"96,744",2317
113/12/17,"55,667,607","10,220,503,792",181.0,186.0,181.0,183.0,+1.00,"47,278",2317
113/12/18,"47,937,386","8,823,563,402",183.0,185.5,182.5,184.5,+1.50,"36,056",2317
113/12/19,"65,029,900","11,756,961,039",181.0,182.0,179.0,181.0,-3.50,"68,455",2317
113/12/20,"56,744,328","10,296,646,083",181.0,184.0,180.0,181.0, 0.00,"33,841",2317
113/12/23,"52,761,423","9,808,419,401",185.0,187.5,184.0,185.5,+4.50,"37,334",2317
113/12/24,"33,589,660","6,258,359,645",187.5,187.5,185.5,185.5, 0.00,"29,234",2317
113/12/25,"21,758,176","4,062,013,540",186.5,188.0,186.0,186.5,+1.00,"18,772",2317
113/12/26,"36,347,153","6,835,578,141",187.5,189.0,187.0,187.5,+1.00,"26,373",2317
113/12/27,"22,136,195","4,128,454,600",187.5,188.0,185.5,186.5,-1.00,"22,469",2317
113/12/30,"24,531,536","4,550,186,856",185.5,187.0,184.5,185.0,-1.50,"22,906",2317
113/12/31,"22,003,451","4,048,043,958",184.5,185.0,183.0,184.0,-1.00,"24,178",2317
114/01/02,"41,467,354","7,588,159,603",184.0,186.0,181.5,182.5,-1.50,"48,006",2317
114/01/03,"48,659,205","8,838,730,132",183.0,184.0,180.5,181.0,-1.50,"52,820",2317
114/01/06,"67,829,021","12,539,307,339",185.0,187.5,183.5,184.5,+3.50,"48,289",2317
114/01/07,"83,019,294","15,727,768,928",187.0,192.0,186.5,190.0,+5.50,"61,312",2317
114/01/08,"41,798,818","7,881,691,230",190.0,190.0,187.0,188.0,-2.00,"68,591",2317
114/01/09,"47,079,538","8,712,211,883",188.0,188.0,183.0,183.0,-5.00,"53,956",2317
114/01/10,"42,317,494","7,698,779,260",182.5,184.0,181.0,181.5,-1.50,"47,888",2317
114/01/13,"157,188,534","27,407,637,685",180.0,180.5,171.5,171.5,-10.00,"192,669",2317
114/01/14,"64,355,673","11,130,474,220",171.5,174.5,171.0,174.5,+3.00,"52,963",2317
114/01/15,"60,432,737","10,411,822,201",174.5,175.5,171.0,171.0,-3.50,"65,891",2317
114/01/16,"42,128,703","7,331,867,358",175.0,176.0,173.0,173.5,+2.50,"32,338",2317
114/01/17,"47,442,329","8,231,498,177",173.0,175.5,172.0,173.5, 0.00,"33,175",2317
114/01/20,"35,167,919","6,214,216,149",174.5,178.0,174.5,178.0,+4.50,"44,005",2317
114/01/21,"32,613,034","5,818,448,615",178.5,180.0,177.0,178.5,+0.50,"31,806",2317
114/01/22,"44,375,092","7,991,917,051",180.5,181.0,178.5,180.0,+1.50,"34,107",2317
113/01/02,"27,997,826","16,549,619,798",590.00,593.00,589.00,593.00, 0.00,"20,667",2330
113/01/03,"40,134,497","23,267,025,945",584.00,585.00,576.00,578.00,-15.00,"56,916",2330
113/01/04,"18,063,758","10,466,284,102",580.00,581.00,577.00,580.00,+2.00,"15,010",2330
113/01/05,"22,008,878","12,685,460,114",578.00,580.00,574.00,576.00,-4.00,"28,660",2330
113/01/08,"19,270,119","11,232,942,053",582.00,585.00,579.00,583.00,+7.00,"19,950",2330
113/01/09,"23,718,766","13,909,252,422",588.00,589.00,583.00,586.00,+3.00,"23,975",2330
113/01/10,"13,708,117","8,006,229,126",581.00,586.00,580.00,584.00,-2.00,"16,104",2330
113/01/11,"27,842,729","16,323,168,586",586.00,589.00,583.00,586.00,+2.00,"20,754",2330
113/01/12,"17,636,558","10,304,253,419",581.00,588.00,581.00,584.00,-2.00,"15,765",2330
113/01/15,"21,900,687","12,873,769,022",590.00,590.00,585.00,586.00,+2.00,"21,886",2330
113/01/16,"28,889,681","16,817,280,777",581.00,588.00,579.00,580.00,-6.00,"21,938",2330
113/01/17,"46,857,735","27,229,863,028",583.00,584.00,578.00,581.00,+1.00,"28,790",2330
113/01/18,"36,746,623","21,575,062,923",586.00,589.00,585.00,588.00,+7.00,"28,621",2330
113/01/19,"176,166,037","109,423,769,320",625.00,627.00,614.00,626.00,+38.00,"207,364",2330
113/01/22,"70,829,523","44,436,449,501",633.00,633.00,623.00,626.00, 0.00,"56,376",2330
113/01/23,"45,761,889","28,681,559,251",629.00,629.00,622.00,628.00,+2.00,"34,729",2330
113/01/24,"29,905,121","18,779,693,566",628.00,630.00,624.00,627.00,-1.00,"27,062",2330
113/01/25,"59,214,638","37,803,501,446",635.00,642.00,633.00,642.00,+15.00,"85,006",2330
