日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/02/05,"5,880,641","5,499,992,171",929.00,940.00,928.00,937.00,+1.00,"9,041"
113/02/15,"12,555,654","12,162,095,404",983.00,983.00,951.00,972.00,+35.00,"20,065"
113/02/16,"4,761,127","4,617,210,037",976.00,977.00,963.00,970.00,-2.00,"9,390"
113/02/19,"4,384,732","4,207,695,206",973.00,973.00,951.00,963.00,-7.00,"14,307"
113/02/20,"8,929,345","8,723,625,360",960.00,985.00,960.00,982.00,+19.00,"16,007"
113/02/21,"5,894,546","5,774,043,213",972.00,986.00,972.00,981.00,-1.00,"9,239"
113/02/22,"11,143,348","11,182,372,563",988.00,"1,020.00",988.00,"1,015.00",+34.00,"27,457"
113/02/23,"24,851,080","26,426,454,270","1,035.00","1,100.00","1,010.00","1,100.00",+85.00,"45,703"
113/02/26,"12,802,833","14,099,735,320","1,090.00","1,120.00","1,060.00","1,115.00",+15.00,"21,866"
113/02/27,"17,764,235","20,091,190,478","1,125.00","1,160.00","1,105.00","1,115.00", 0.00,"25,231"
113/02/29,"9,629,679","10,913,144,214","1,115.00","1,145.00","1,110.00","1,140.00",+25.00,"12,969"
113/03/01,"12,340,648","13,885,865,445","1,165.00","1,165.00","1,095.00","1,105.00",-35.00,"19,824"
113/03/04,"12,662,274","14,412,286,170","1,115.00","1,155.00","1,105.00","1,150.00",+45.00,"18,174"
113/03/05,"8,791,366","10,110,507,669","1,150.00","1,160.00","1,130.00","1,155.00",+5.00,"11,614"
113/03/06,"10,101,276","11,900,123,883","1,145.00","1,200.00","1,140.00","1,190.00",+35.00,"18,023"
113/03/07,"15,486,926","19,124,067,055","1,220.00","1,260.00","1,215.00","1,230.00",+40.00,"27,116"
113/03/08,"16,879,880","20,901,360,710","1,260.00","1,275.00","1,195.00","1,230.00", 0.00,"29,378"
113/03/11,"5,890,017","7,194,112,840","1,235.00","1,245.00","1,205.00","1,225.00",-5.00,"13,988"
113/03/12,"5,763,673","6,982,065,633","1,200.00","1,225.00","1,190.00","1,215.00",-10.00,"10,293"
113/03/13,"7,058,092","8,664,872,625","1,245.00","1,260.00","1,210.00","1,215.00", 0.00,"10,150"
113/03/14,"13,127,561","15,362,729,390","1,220.00","1,230.00","1,140.00","1,150.00",-65.00,"29,288"
113/03/15,"8,765,752","9,952,629,412","1,135.00","1,150.00","1,120.00","1,135.00",-15.00,"12,868"
113/03/18,"6,022,543","6,998,166,230","1,135.00","1,180.00","1,135.00","1,170.00",+35.00,"9,226"
113/03/19,"8,911,458","10,275,345,250","1,150.00","1,165.00","1,135.00","1,150.00",-20.00,"11,577"
113/03/20,"6,413,758","7,334,841,690","1,145.00","1,175.00","1,120.00","1,130.00",-20.00,"14,933"
113/03/21,"6,662,414","7,591,384,995","1,160.00","1,160.00","1,125.00","1,140.00",+10.00,"10,301"
113/03/22,"6,420,828","7,221,186,772","1,140.00","1,145.00","1,110.00","1,125.00",-15.00,"12,312"
113/03/25,"3,339,686","3,757,398,540","1,120.00","1,140.00","1,115.00","1,120.00",-5.00,"7,196"
113/03/26,"6,780,815","7,730,813,565","1,140.00","1,170.00","1,120.00","1,130.00",+10.00,"9,698"
113/03/27,"6,243,784","7,246,200,275","1,135.00","1,175.00","1,125.00","1,165.00",+35.00,"11,039"
113/03/28,"7,545,389","8,765,813,082","1,160.00","1,180.00","1,135.00","1,160.00",-5.00,"10,171"
113/03/29,"8,549,357","10,121,577,230","1,160.00","1,200.00","1,160.00","1,195.00",+35.00,"13,892"
113/04/01,"5,481,587","6,409,200,810","1,190.00","1,200.00","1,155.00","1,160.00",-35.00,"10,079"
