new_index,nearest_index,distance,reference_date,infer_date
403,589,1.3143363183772623,2013-03-15,2012-06-07
404,589,1.3717791509572272,2013-03-15,2012-06-08
405,589,1.3153660012887245,2013-03-15,2012-06-11
406,589,1.2464105441045519,2013-03-15,2012-06-12
407,589,1.4810884192920437,2013-03-15,2012-06-13
408,589,1.3295008902811523,2013-03-15,2012-06-14
409,589,1.5788005200719197,2013-03-15,2012-06-15
410,589,1.4044394472137245,2013-03-15,2012-06-18
411,589,1.378154761768891,2013-03-15,2012-06-19
412,589,1.6680963772794002,2013-03-15,2012-06-20
413,589,1.5349193217163137,2013-03-15,2012-06-21
414,589,1.5099724282985532,2013-03-15,2012-06-22
415,589,1.5435660698622702,2013-03-15,2012-06-25
416,589,1.5883818581194775,2013-03-15,2012-06-26
417,589,1.4419042416152115,2013-03-15,2012-06-27
418,589,1.528351025960865,2013-03-15,2012-06-28
419,589,1.5222525972399816,2013-03-15,2012-06-29
420,589,1.5156351870287756,2013-03-15,2012-07-02
421,589,1.4767998463976335,2013-03-15,2012-07-03
422,463,1.7159866309045597,2012-09-07,2012-07-04
423,589,1.5030978995775621,2013-03-15,2012-07-05
424,463,1.7155317366289384,2012-09-07,2012-07-06
425,463,1.723578644701605,2012-09-07,2012-07-09
426,463,1.7448554166485815,2012-09-07,2012-07-10
427,589,1.4753334592232092,2013-03-15,2012-07-11
428,589,1.7283763295809451,2013-03-15,2012-07-12
429,589,1.5019081281090412,2013-03-15,2012-07-13
430,589,1.5402063408020108,2013-03-15,2012-07-16
431,589,1.771549163310093,2013-03-15,2012-07-17
432,589,1.5639490958619493,2013-03-15,2012-07-18
433,589,1.6738926493887873,2013-03-15,2012-07-19
434,589,1.698119647041684,2013-03-15,2012-07-20
435,589,1.4853127625593527,2013-03-15,2012-07-23
436,589,1.353153887675819,2013-03-15,2012-07-24
437,589,1.3496157076382789,2013-03-15,2012-07-25
438,589,1.2271572902223016,2013-03-15,2012-07-26
439,589,1.3953308383673921,2013-03-15,2012-07-27
440,589,1.4830397997003977,2013-03-15,2012-07-30
441,589,1.4100924417158804,2013-03-15,2012-07-31
442,589,1.5410149672814386,2013-03-15,2012-08-01
443,589,1.662283358946601,2013-03-15,2012-08-03
444,589,1.6412357488438312,2013-03-15,2012-08-06
445,588,2.125862120919234,2013-03-14,2012-08-07
446,588,2.126813018302595,2013-03-14,2012-08-08
447,463,1.8998105506711913,2012-09-07,2012-08-09
448,588,2.2113025269327657,2013-03-14,2012-08-10
449,463,2.5086155071446834,2012-09-07,2012-08-13
450,463,2.7598714318241737,2012-09-07,2012-08-14
451,463,3.0798836342201006,2012-09-07,2012-08-15
452,2079,3.2293630440195185,2019-04-12,2012-08-16
453,2451,3.4118530920233283,2020-10-19,2012-08-17
454,2451,2.946540926210442,2020-10-19,2012-08-20
455,2451,2.92356395673971,2020-10-19,2012-08-21
456,2449,3.168265747386272,2020-10-15,2012-08-22
457,2451,2.5137956233643757,2020-10-19,2012-08-23
458,2449,2.838480765890566,2020-10-15,2012-08-24
459,2451,2.509900172094354,2020-10-19,2012-08-27
460,2449,2.5691812210060694,2020-10-15,2012-08-28
461,2984,2.2774888251673553,2022-12-16,2012-08-29
462,2449,2.5471461225838947,2020-10-15,2012-08-30
463,2449,3.0630632505297095,2020-10-15,2012-08-31
464,2449,2.349079519257163,2020-10-15,2012-09-03
465,2984,1.702520538264853,2022-12-16,2012-09-04
466,2984,1.6718588534571133,2022-12-16,2012-09-05
467,2984,1.6638299020338594,2022-12-16,2012-09-06
468,2984,1.7076104805447354,2022-12-16,2012-09-07
469,2984,2.0349902911345805,2022-12-16,2012-09-10
470,2985,1.792913586558978,2022-12-19,2012-09-11
471,2985,1.7765788674015863,2022-12-19,2012-09-12
472,2985,2.1522057484034676,2022-12-19,2012-09-13
473,2985,2.231371450545798,2022-12-19,2012-09-14
474,2433,2.1934456690795767,2020-09-18,2012-09-17
475,2985,2.0810896979235807,2022-12-19,2012-09-18
476,2433,2.1993002922503386,2020-09-18,2012-09-19
477,2433,1.9515946297163425,2020-09-18,2012-09-20
478,2433,1.8930893943191514,2020-09-18,2012-09-21
479,2157,2.106902650160733,2019-08-02,2012-09-24
480,69,2.269352260841726,2011-02-10,2012-09-25
481,2433,1.9817282265582041,2020-09-18,2012-09-26
482,2433,2.39287806594229,2020-09-18,2012-09-27
483,69,2.1488651620118877,2011-02-10,2012-09-28
